F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
;203;;87;Fr;(9/2-);A;&100.00;0.0000;7.256;0.55 S 1;;0.8770;0.0060;;200507;5.50E-01
;204;;87;Fr;(3+);A;92.00;0.0000;7.171;1.8 S 3;;0.6070;0.0240;;201002;1.80E+00
;204;;87;Fr;(3+);EC;8.00;0.0000;8.593;1.8 S 3;;0.6070;0.0240;;201002;1.80E+00
;204;M;87;Fr;(7+);A;90.00;0.0410;7.212;1.6 S +5-3;;0.6480;0.0240;;201002;1.60E+00
;204;M;87;Fr;(7+);EC;10.00;0.0410;8.634;1.6 S +5-3;;0.6480;0.0240;;201002;1.60E+00
;204;M;87;Fr;(10-);A;74.00;0.3160;7.487;0.8 S 2;;0.9230;0.0240;;201002;8.00E-01
;204;M;87;Fr;(10-);EC;26.00;0.3160;8.909;0.8 S 2;;0.9230;0.0240;;201002;8.00E-01
;205;;87;Fr;(9/2-);A;98.50;0.0000;7.055;3.97 S 4;;-1.3090;0.0070;;10DE04;3.97E+00
;205;;87;Fr;(9/2-);EC;1.50;0.0000;6.404;3.97 S 4;;-1.3090;0.0070;;10DE04;3.97E+00
;206;;87;Fr;(2+,3+);A;@ 84.00;0.0000;6.923;16 S AP;;-1.2420;0.0280;;200805;1.60E+01
;206;;87;Fr;(2+,3+);EC;@ 16.00;0.0000;7.873;16 S AP;;-1.2420;0.0280;;200805;1.60E+01
;206;M;87;Fr;(7+);A;@ 84.00;0.0000;6.923;16 S AP;;-1.2420;0.0280;;200805;1.60E+01
;206;M;87;Fr;(7+);EC;@ 16.00;0.0000;7.873;16 S AP;;-1.2420;0.0280;;200805;1.60E+01
;206;M;87;Fr;(10-);IT;95.00;0.5310;0.531;0.7 S 1;;-0.7110;0.0280;;200805;7.00E-01
;206;M;87;Fr;(10-);A;5.00;0.5310;7.454;0.7 S 1;;-0.7110;0.0280;;200805;7.00E-01
;207;;87;Fr;9/2-;A;95.00;0.0000;6.897;14.8 S 1;;-2.8420;0.0500;;201102;1.48E+01
;207;;87;Fr;9/2-;EC;5.00;0.0000;5.789;14.8 S 1;;-2.8420;0.0500;;201102;1.48E+01
;208;;87;Fr;7+;A;89.00;0.0000;6.785;59.1 S 3;;-2.6700;0.0520;;200707;5.91E+01
;208;;87;Fr;7+;EC;11.00;0.0000;6.983;59.1 S 3;;-2.6700;0.0520;;200707;5.91E+01
;209;;87;Fr;9/2-;A;89.00;0.0000;6.777;50.5 S 7;;-3.7690;0.0140;;10KA29;5.05E+01
;209;;87;Fr;9/2-;EC;11.00;0.0000;5.159;50.5 S 7;;-3.7690;0.0140;;10KA29;5.05E+01
!;209;M;87;Fr;;IT;100.00;0.0000;0.000;450 NS 50;;-3.7690;0.0140;;05RE02;4.50E-07
;210;;87;Fr;6+;A;71.00;0.0000;6.648;3.18 M 6;;-3.3320;0.0150;;200307;1.91E+02
;210;;87;Fr;6+;EC;29.00;0.0000;6.252;3.18 M 6;;-3.3320;0.0150;;200307;1.91E+02
;211;;87;Fr;9/2-;A;87.00;0.0000;6.660;3.10 M 2;;-4.1400;0.0110;;05KU06;1.86E+02
;211;;87;Fr;9/2-;EC;13.00;0.0000;4.598;3.10 M 2;;-4.1400;0.0110;;200410;1.86E+02
;212;;87;Fr;5+;EC;57.00;0.0000;5.122;20.0 M 6;;-3.5150;0.0080;;200503;1.20E+03
;212;;87;Fr;5+;A;43.00;0.0000;6.529;20.0 M 6;;-3.5150;0.0080;;200503;1.20E+03
;213;;87;Fr;9/2-;A;99.44;0.0000;6.905;34.82 S 14;;-3.5530;0.0050;;200704;3.48E+01
;213;;87;Fr;9/2-;EC;0.56;0.0000;2.148;34.82 S 14;;-3.5530;0.0050;;200704;3.48E+01
;214;;87;Fr;(1-);A;100.00;0.0000;8.589;5.0 MS 2;;-0.9590;0.0080;;200902;5.00E-03
;214;M;87;Fr;(8-);A;100.00;0.1220;8.711;3.35 MS 5;;-0.8370;0.0080;;200902;3.35E-03
;215;;87;Fr;9/2-;A;100.00;0.0000;9.540;86 NS 5;;0.3170;0.0070;;200110;8.60E-08
;216;;87;Fr;(1-);A;100.00;0.0000;9.175;700 NS 20;;2.9700;0.0040;;07KU30;7.00E-07
!;216;M;87;Fr;(9-);A;100.00;0.219;9.394;850 NS 30;;3.1890;0.0040;;07KU30;8.50E-07
;217;;87;Fr;9/2-;A;100.00;0.0000;8.469;19 US 3;;4.3130;0.0060;;200309;1.90E-05
;218;;87;Fr;1-;A;100.00;0.0000;8.014;1.0 MS 6;;7.0580;0.0040;;200602;1.00E-03
;218;M;87;Fr;;A;&100.00;0.0860;8.100;22.0 MS 5;;7.1440;0.0040;;200602;2.20E-02
;218;M;87;Fr;;IT;;0.0860;0.086;22.0 MS 5;;7.1440;0.0040;;200602;2.20E-02
;219;;87;Fr;9/2-;A;100.00;0.0000;7.449;20 MS 2;;8.6170;0.0070;;200110;2.00E-02
;220;;87;Fr;1+;A;99.65;0.0000;6.801;27.4 S 3;;11.4800;0.0040;;201104;2.74E+01
;220;;87;Fr;1+;B-;0.35;0.0000;1.210;27.4 S 3;;11.4800;0.0040;;201104;2.74E+01
;221;;87;Fr;5/2-;A;100.00;0.0000;6.458;286.1 S 10;;13.2780;0.0040;;10WA42;2.86E+02
;221;;87;Fr;5/2-;B-;<  0.10;0.0000;0.314;286.1 S 10;;13.2780;0.0040;;10WA42;2.86E+02
;222;;87;Fr;2-;B-;100.00;0.0000;2.028;14.2 M 3;;16.3480;0.0210;;199601;8.52E+02
;223;;87;Fr;3/2(-);B-;99.99;0.0000;1.149;22.00 M 7;;18.3840;0.0020;;200110;1.32E+03
;223;;87;Fr;3/2(-);A;6.0E-3;0.0000;5.562;22.00 M 7;;18.3840;0.0020;;200110;1.32E+03
;224;;87;Fr;1-;B-;100.00;0.0000;2.830;3.33 M 10;;21.6510;0.0500;;199703;2.00E+02
;225;;87;Fr;3/2-;B-;100.00;0.0000;1.820;3.95 M 14;;23.8150;0.0300;;200905;2.37E+02
;226;;87;Fr;1-;B-;100.00;0.0000;3.704;49 S 1;;27.3720;0.1000;;199604;4.90E+01
;227;;87;Fr;1/2+;B-;100.00;0.0000;2.476;2.47 M 3;;29.6540;0.1000;;200110;1.48E+02
;228;;87;Fr;2-;B-;&100.00;0.0000;4.340;38 S 1;;33.2860;0.2000;S;199704;3.80E+01
;229;;87;Fr;(1/2+);B-;100.00;0.0000;3.253;50.2 S 20;;35.8160;0.0370;;;5.02E+01
;230;;87;Fr;;B-;100.00;0.0000;5.080;19.1 S 5;;39.4990;0.0290;;200710;1.91E+01
;231;;87;Fr;(1/2+);B-;100.00;0.0000;3.931;17.6 S 6;;42.2880;0.3440;S;200110;1.76E+01
;232;;87;Fr;(5);B-;100.00;0.0000;5.714;5.5 S 6;;46.1020;0.2110;S;200610;5.50E+00
;233;;87;Fr;;B-;;0.0000;0.000;300 NS GT;;49.1920;0.2980;S;201105;3.00E-07
;201;M;88;Ra;(13/2+);A;100.00;0.0000;8.088;1.6 MS +77-7;;11.8410;0.1170;S;200703;1.60E-03
;201;M;88;Ra;(13/2+);EC;;0.0000;0.000;1.6 MS +77-7;;11.8410;0.1170;S;200703;1.60E-03
;202;;88;Ra;0+;A;100.00;0.0000;8.019;16 MS +30-7;;9.0890;0.0240;;200803;1.60E-02
;203;;88;Ra;(3/2-);A;100.00;0.0000;7.730;31 MS +17-9;;8.6560;0.0800;;200507;3.10E-02
;203;M;88;Ra;(13/2+);A;100.00;0.0000;7.730;24 MS +6-4;;8.6560;0.0800;;200507;2.40E-02
;204;;88;Ra;0+;A;100.00;0.0000;7.636;57 MS +11-5;;6.0560;0.0140;;201002;5.70E-02
;205;;88;Ra;(3/2-);A;&100.00;0.0000;7.486;210 MS +60-40;;5.8380;0.0700;;200404;2.10E-01
;205;;88;Ra;(3/2-);EC;;0.0000;7.149;210 MS +60-40;;5.8380;0.0700;;200404;2.10E-01
;205;M;88;Ra;(13/2+);A;&100.00;0.0000;7.486;170 MS +60-40;;5.8380;0.0700;;200404;1.70E-01
;205;M;88;Ra;(13/2+);EC;;0.0000;7.149;170 MS +60-40;;5.8380;0.0700;;200404;1.70E-01
;206;;88;Ra;0+;A;100.00;0.0000;7.415;0.24 S 2;;3.5640;0.0180;;200805;2.40E-01
;207;;88;Ra;(3/2-,5/2-;A;@ 86.00;0.0000;7.273;1.35 S -13+22;;3.5380;0.0550;;201102;1.35E+00
;207;;88;Ra;(3/2-,5/2-;EC;@ 14.00;0.0000;6.380;1.35 S -13+22;;3.5380;0.0550;;201102;1.35E+00
;207;M;88;Ra;(13/2+);IT;# 85.00;0.5540;0.554;59 MS 4;;4.0920;0.0550;;201102;5.90E-02
;207;M;88;Ra;(13/2+);A;& 15.00;0.5540;7.827;59 MS 4;;4.0920;0.0550;;201102;5.90E-02
;208;;88;Ra;0+;A;95.00;0.0000;7.273;1.3 S 2;;1.7140;0.0150;;200707;1.30E+00
;208;;88;Ra;0+;EC;5.00;0.0000;4.379;1.3 S 2;;1.7140;0.0150;;200707;1.30E+00
;209;;88;Ra;5/2-;A;@ 90.00;0.0000;7.144;4.6 S 2;;1.8540;0.0500;;911113;4.60E+00
;209;;88;Ra;5/2-;EC;@ 10.00;0.0000;5.624;4.6 S 2;;1.8540;0.0500;;911113;4.60E+00
;210;;88;Ra;0+;A;@ 96.00;0.0000;7.152;3.7 S 2;;0.4590;0.0150;;200307;3.70E+00
;210;;88;Ra;0+;EC;@  4.00;0.0000;3.807;3.7 S 2;;0.4590;0.0150;;200307;3.70E+00
;211;;88;Ra;5/2(-);A;> 93.00;0.0000;7.043;13 S 2;;0.8320;0.0070;;200410;1.30E+01
;211;;88;Ra;5/2(-);EC;<  7.00;0.0000;4.994;13 S 2;;0.8320;0.0070;;200410;1.30E+01
;212;;88;Ra;0+;A;@ 85.00;0.0000;7.032;13.0 S 2;;-0.2030;0.0110;;200503;1.30E+01
;212;;88;Ra;0+;EC;@ 15.00;0.0000;3.346;13.0 S 2;;-0.2030;0.0110;;200503;1.30E+01
;213;;88;Ra;1/2-;A;80.00;0.0000;6.861;2.73 M 5;;0.3580;0.0200;;200704;1.64E+02
;213;;88;Ra;1/2-;EC;20.00;0.0000;3.908;2.73 M 5;;0.3580;0.0200;;200704;1.64E+02
;213;M;88;Ra;(17/2-);IT;@ 99.40;1.7700;1.770;2.20 MS 5;;2.1280;0.0200;;200704;2.20E-03
;213;M;88;Ra;(17/2-);A;@  0.60;1.7700;8.631;2.20 MS 5;;2.1280;0.0200;;06ku26;2.20E-03
;214;;88;Ra;0+;A;99.94;0.0000;7.274;2.46 S 3;;0.0950;0.0040;;200902;2.46E+00
;214;;88;Ra;0+;EC;0.06;0.0000;1.059;2.46 S 3;;0.0950;0.0040;;200902;2.46E+00
!;214;M;88;Ra;8+;IT;;1.8652;1.865;67.3 US 15;;1.9602;0.0040;;200902;6.73E-05
!;214;M;88;Ra;8+;A;0.09;1.8652;9.139;67.3 US 15;;1.9602;0.0040;;200902;6.73E-05
;215;;88;Ra;(9/2+);A;100.00;0.0000;8.864;1.55 MS 7;;2.5320;0.0070;;200110;1.55E-03
;216;;88;Ra;0+;A;100.00;0.0000;9.526;182 NS 10;;3.2900;0.0080;;200705;1.82E-07
;216;;88;Ra;0+;EC;<1.0E-8;0.0000;0.312;182 NS 10;;3.2900;0.0080;;200705;1.82E-07
!;216;M;88;Ra;6+;A;0.58;1.5076;11.034;0.2 NS LT;;4.7976;0.0080;;200705;2.00E-10
!;216;M;88;Ra;8+;A;1.86;1.7111;11.237;1.42 NS 20;;5.0011;0.0080;;200705;1.42E-09
!;216;M;88;Ra;10+;A;0.12;2.0260;11.552;0.6 NS 1;;5.3160;0.0080;;200705;6.00E-10
;217;;88;Ra;(9/2+);A;100.00;0.0000;9.161;1.6 US 2;;5.8860;0.0080;;200309;1.60E-06
;218;;88;Ra;0+;A;100.00;0.0000;8.546;25.2 US 3;;6.6500;0.0110;;200602;2.52E-05
;219;;88;Ra;(7/2)+;A;100.00;0.0000;8.138;10 MS 3;;9.3930;0.0080;;200110;1.00E-02
;220;;88;Ra;0+;A;100.00;0.0000;7.592;18 MS 2;;10.2720;0.0090;;201104;1.80E-02
;221;;88;Ra;5/2+;A;100.00;0.0000;6.880;28 S 2;;12.9630;0.0040;;200705;2.80E+01
;221;;88;Ra;5/2+;14C;1E-12;0.0000;32.396;28 S 2;;12.9630;0.0040;;ENAM95;2.80E+01
;222;;88;Ra;0+;A;100.00;0.0000;6.679;38.0 S 5;;14.3200;0.0040;;199601;3.80E+01
;222;;88;Ra;0+;14C;3.0E-8;0.0000;33.050;38.0 S 5;;14.3200;0.0040;;199601;3.80E+01
;223;;88;Ra;3/2+;A;100.00;0.0000;5.979;11.43 D 5;;17.2340;0.0020;;200110;9.88E+05
;223;;88;Ra;3/2+;14C;8.9E-8;0.0000;31.829;11.43 D 5;;17.2340;0.0020;;200110;9.88E+05
;224;;88;Ra;0+;A;100.00;0.0000;5.789;3.6319 D 23;;18.8210;0.0020;;04SC04;3.14E+05
;224;;88;Ra;0+;14C;4.0E-9;0.0000;30.536;3.6319 D 23;;18.8210;0.0020;;04SC04;3.14E+05
;225;;88;Ra;1/2+;B-;100.00;0.0000;0.356;14.9 D 2;;21.9950;0.0020;;200905;1.29E+06
;226;;88;Ra;0+;A;100.00;0.0000;4.871;1600 Y 7;;23.6680;0.0020;;199604;5.05E+10
;226;;88;Ra;0+;14C;3.2E-9;0.0000;28.197;1600 Y 7;;23.6680;0.0020;;199604;5.05E+10
;227;;88;Ra;3/2+;B-;100.00;0.0000;1.328;42.2 M 5;;27.1780;0.0020;;200110;2.53E+03
;228;;88;Ra;0+;B-;100.00;0.0000;0.046;5.75 Y 3;;28.9460;0.0020;;199704;1.81E+08
;229;;88;Ra;5/2+;B-;;0.0000;1.809;4.0 M 2;;32.5550;0.0150;;;2.40E+02
;230;;88;Ra;0+;B-;100.00;0.0000;0.710;93 M 2;;34.5160;0.0100;;200710;5.58E+03
;231;;88;Ra;(5/2+);B-;100.00;0.0000;2.479;104.1 S 8;;38.2250;0.0190;;08BO29;1.04E+02
;232;;88;Ra;0+;B-;100.00;0.0000;1.500;4.2 M 8;;40.4970;0.0120;;200610;2.52E+02
;233;;88;Ra;;B-;100.00;0.0000;3.269;30 S 5;;44.5870;0.4110;S;200507;3.00E+01
;234;;88;Ra;0+;B-;100.00;0.0000;2.128;30 S 10;;47.1520;0.4900;S;200704;3.00E+01
;235;;88;Ra;;;;;0.000;;;51.3810;0.4010;S;;0.00E+00
;206;;89;Ac;(3+);A;100.00;0.0000;7.945;22 MS +9-5;;13.5320;0.0520;;200805;2.20E-02
;206;M;89;Ac;(10-);A;100.00;0.0000;7.945;33 MS +22-9;;13.5320;0.0520;;200805;3.30E-02
;207;;89;Ac;(9/2-);A;100.00;0.0000;7.845;27 MS +11-6;;11.1470;0.0500;;201102;2.70E-02
;208;;89;Ac;(3+);A;@ 99.00;0.0000;7.727;95 MS +24-16;;10.7590;0.0550;;200707;9.50E-02
;208;;89;Ac;(3+);EC;@  1.00;0.0000;9.046;95 MS +24-16;;10.7590;0.0550;;200707;9.50E-02
;208;M;89;Ac;(10-);A;@ 90.00;0.5060;8.233;25 MS +9-5;;11.2650;0.0550;;200707;2.50E-02
;208;M;89;Ac;(10-);EC;@ 10.00;0.5060;9.552;25 MS +9-5;;11.2650;0.0550;;200707;2.50E-02
;209;;89;Ac;(9/2-);A;@ 99.00;0.0000;7.729;0.10 S 5;;8.8440;0.0500;;911113;1.00E-01
;209;;89;Ac;(9/2-);EC;@  1.00;0.0000;6.989;0.10 S 5;;8.8440;0.0500;;911113;1.00E-01
;210;;89;Ac;;A;91.00;0.0000;7.607;0.35 S 5;;8.7890;0.0570;;200307;3.50E-01
;210;;89;Ac;;EC;@  9.00;0.0000;8.328;0.35 S 5;;8.7890;0.0570;;200307;3.50E-01
;211;;89;Ac;;A;100.00;0.0000;7.622;0.21 S 3;;7.2040;0.0710;;200410;2.10E-01
;212;;89;Ac;;A;@ 57.00;0.0000;7.519;0.93 S 5;;7.2730;0.0720;;200503;9.30E-01
;212;;89;Ac;;EC;@ 43.00;0.0000;7.470;0.93 S 5;;7.2730;0.0720;;200503;9.30E-01
;213;;89;Ac;;A;&100.00;0.0000;7.499;738 MS 16;;6.1550;0.0520;;200704;7.38E-01
;214;;89;Ac;(5+);A;# 89.00;0.0000;7.350;8.2 S 2;;6.4440;0.0150;;200902;8.20E+00
;214;;89;Ac;(5+);EC;& 11.00;0.0000;6.328;8.2 S 2;;6.4440;0.0150;;200902;8.20E+00
;215;;89;Ac;9/2-;A;99.91;0.0000;7.744;0.17 S 1;;6.0300;0.0120;;200110;1.70E-01
;215;;89;Ac;9/2-;EC;0.09;0.0000;3.478;0.17 S 1;;6.0300;0.0120;;200110;1.70E-01
;216;;89;Ac;(1-);A;100.00;0.0000;9.235;440 US 16;;8.1440;0.0100;;200705;4.40E-04
;216;M;89;Ac;(9-);A;100.00;0.0480;9.283;441 US 7;;8.1920;0.0100;;200705;4.41E-04
;217;;89;Ac;9/2-;A;100.00;0.0000;9.832;69 NS 4;;8.7030;0.0110;;200309;6.90E-08
;217;;89;Ac;9/2-;EC;&  2.00;0.0000;2.819;69 NS 4;;8.7030;0.0110;;200309;6.90E-08
!;217;M;89;Ac;21/2-;IT;# 99.60;1.5285;1.528;10 NS LT;;10.2315;0.0110;;200309;1.00E-08
!;217;M;89;Ac;21/2-;A;&  0.48;1.5285;11.360;10 NS LT;;10.2315;0.0110;;200309;1.00E-08
!;217;M;89;Ac;(29/2)+;IT;95.70;2.0130;2.013;740 NS 40;;10.7160;0.0110;;200309;7.40E-07
!;217;M;89;Ac;(29/2)+;A;4.30;2.0130;11.845;740 NS 40;;10.7160;0.0110;;200309;7.40E-07
;218;;89;Ac;(1-);A;100.00;0.0000;9.377;1.08 US 9;;10.8430;0.0500;;200602;1.08E-06
;219;;89;Ac;9/2-;A;100.00;0.0000;8.826;11.8 US 15;;11.5680;0.0500;;200110;1.18E-05
;220;;89;Ac;(3-);A;100.00;0.0000;8.348;26.4 MS 2;;13.7420;0.0060;;201104;2.64E-02
;220;;89;Ac;(3-);EC;5.0E-4;0.0000;3.479;26.4 MS 2;;13.7420;0.0060;;201104;2.64E-02
;221;;89;Ac;(3/2-);A;100.00;0.0000;7.784;52 MS 2;;14.5220;0.0500;;200705;5.20E-02
;222;;89;Ac;1-;A;99.00;0.0000;7.137;5.0 S 5;;16.6200;0.0050;;199601;5.00E+00
;222;;89;Ac;1-;EC;1.00;0.0000;2.300;5.0 S 5;;16.6200;0.0050;;199601;5.00E+00
;222;M;89;Ac;;A;# 88.00;0.0000;7.137;63 S 3;;16.6200;0.0050;;199601;6.30E+01
;222;M;89;Ac;;IT;& 10.00;0.0000;0.000;63 S 3;;16.6200;0.0050;;199601;6.30E+01
;222;M;89;Ac;;EC;#  0.70;0.0000;2.300;63 S 3;;16.6200;0.0050;;199601;6.30E+01
;223;;89;Ac;(5/2-);A;99.00;0.0000;6.783;2.10 M 5;;17.8260;0.0070;;200110;1.26E+02
;223;;89;Ac;(5/2-);EC;1.00;0.0000;0.592;2.10 M 5;;17.8260;0.0070;;200110;1.26E+02
;224;;89;Ac;0-;EC;90.90;0.0000;1.403;2.78 H 17;;20.2310;0.0040;;970306;1.00E+04
;224;;89;Ac;0-;A;9.10;0.0000;6.327;2.78 H 17;;20.2310;0.0040;;970306;1.00E+04
;224;;89;Ac;0-;B-;<  1.60;0.0000;0.238;2.78 H 17;;20.2310;0.0040;;970306;1.00E+04
;225;;89;Ac;(3/2-);A;100.00;0.0000;5.935;10.0 D 1;;21.6380;0.0040;;200905;8.64E+05
;225;;89;Ac;(3/2-);14C;4E-12;0.0000;30.477;10.0 D 1;;21.6380;0.0040;;200905;8.64E+05
;226;;89;Ac;(1);B-;83.00;0.0000;1.113;29.37 H 12;;24.3090;0.0030;;960405;1.06E+05
;226;;89;Ac;(1);EC;17.00;0.0000;0.640;29.37 H 12;;24.3090;0.0030;;960405;1.06E+05
;226;;89;Ac;(1);A;6.0E-3;0.0000;5.536;29.37 H 12;;24.3090;0.0030;;960405;1.06E+05
;227;;89;Ac;3/2-;B-;98.62;0.0000;0.045;21.772 Y 3;;25.8510;0.0020;;200110;6.87E+08
;227;;89;Ac;3/2-;A;1.38;0.0000;5.042;21.772 Y 3;;25.8510;0.0020;;200110;6.87E+08
;228;;89;Ac;3+;B-;100.00;0.0000;2.124;6.15 H 2;;28.9000;0.0020;;970424;2.21E+04
;229;;89;Ac;(3/2+);B-;100.00;0.0000;1.167;62.7 M 5;;30.7490;0.0320;;;3.76E+03
;230;;89;Ac;(1+);B-;100.00;0.0000;2.944;122 S 3;;33.8060;0.3000;;200710;1.22E+02
;230;;89;Ac;(1+);BF;1.2E-6;0.0000;2.944;122 S 3;;33.8060;0.3000;;200710;1.22E+02
;231;;89;Ac;(1/2+);B-;100.00;0.0000;2.100;7.5 M 1;;35.9160;0.1000;;200110;4.50E+02
;232;;89;Ac;(1+);B-;100.00;0.0000;3.700;119 S 5;;39.1520;0.1000;;200610;1.19E+02
;233;;89;Ac;(1/2+);B-;100.00;0.0000;2.765;145 S 10;;41.4790;0.1020;S;200507;1.45E+02
;234;;89;Ac;;B-;100.00;0.0000;4.489;44 S 7;;45.0470;0.1960;S;200704;4.40E+01
;235;;89;Ac;;B-;100.00;0.0000;3.467;60 S 4;;47.6320;0.2800;S;200809;6.00E+01
;236;;89;Ac;;B-;?;;5.054;;;51.2660;0.0670;;NUBASE;0.00E+00
;237;;89;Ac;;;;;0.000;;;54.2780;0.4010;S;;0.00E+00
;208;;90;Th;0+;A;100.00;0.0000;8.202;1.7 MS +17-6;;16.6820;0.0330;;201105;1.70E-03
;209;;90;Th;(5/2-);A;;0.0000;8.238;2.5 MS +17-7;;16.5360;0.0860;;10HE25;2.50E-03
;210;;90;Th;0+;A;99.00;0.0000;8.053;16 MS 4;;14.0580;0.0180;;10HE25;1.60E-02
;210;;90;Th;0+;EC;@  1.00;0.0000;5.253;16 MS 4;;14.0580;0.0180;;10HE25;1.60E-02
;211;;90;Th;;A;;0.0000;7.943;0.04 S +3-1;;13.9050;0.0740;;200410;4.00E-02
;212;;90;Th;0+;A;100.00;0.0000;7.952;31.7 MS 13;;12.0960;0.0160;;10HE25;3.17E-02
;212;;90;Th;0+;EC;@  0.30;0.0000;4.813;31.7 MS 13;;12.0960;0.0160;;10HE25;3.17E-02
;213;;90;Th;;A;&100.00;0.0000;7.839;144 MS 21;;12.1180;0.0710;;200704;1.44E-01
;214;;90;Th;0+;A;100.00;0.0000;7.826;87 MS 10;;10.7110;0.0160;;200906;8.70E-02
!;214;M;90;Th;(8+);IT;100.00;2.1810;2.181;1.24 US 12;;12.8920;0.0160;;200906;1.24E-06
;215;;90;Th;(1/2-);A;100.00;0.0000;7.665;1.2 S 2;;10.9210;0.0080;;200110;1.20E+00
;216;;90;Th;0+;A;100.00;0.0000;8.071;26.0 MS 2;;10.2930;0.0110;;200705;2.60E-02
;216;;90;Th;0+;EC;@  0.01;0.0000;2.182;26.0 MS 2;;10.2930;0.0110;;200705;2.60E-02
;216;M;90;Th;8+;A;2.80;2.0400;10.111;134 US 4;;12.3330;0.0110;;200705;1.34E-04
;216;M;90;Th;8+;IT;;2.0400;2.040;134 US 4;;12.3330;0.0110;;200705;1.34E-04
;217;;90;Th;(9/2+);A;100.00;0.0000;9.433;0.241 MS 5;;12.2180;0.0200;;200309;2.41E-04
!;217;M;90;Th;(15/2-);IT;100.00;0.6738;0.674;141 NS 50;;12.8918;0.0200;;200309;1.41E-07
;218;;90;Th;0+;A;100.00;0.0000;9.849;117 NS 9;;12.3690;0.0100;;200602;1.17E-07
;219;;90;Th;;A;100.00;0.0000;9.514;1.05 US 3;;14.4710;0.0500;;200110;1.05E-06
;220;;90;Th;0+;A;100.00;0.0000;8.953;9.7 US 6;;14.6680;0.0220;;201104;9.70E-06
;220;;90;Th;0+;EC;2.0E-7;0.0000;0.917;9.7 US 6;;14.6680;0.0220;;201104;9.70E-06
;221;;90;Th;(7/2+);A;100.00;0.0000;8.626;1.68 MS 6;;16.9370;0.0090;;200705;1.68E-03
;222;;90;Th;0+;A;100.00;0.0000;8.127;2.8 MS 3;;17.2020;0.0120;;199601;2.80E-03
;223;;90;Th;(5/2)+;A;100.00;0.0000;7.567;0.60 S 2;;19.3840;0.0090;;200110;6.00E-01
;224;;90;Th;0+;A;100.00;0.0000;7.298;0.81 S 10;;19.9950;0.0100;;00HE17;8.10E-01
;225;;90;Th;(3/2+);A;@ 90.00;0.0000;6.921;8.75 M 4;;22.3090;0.0050;;200905;5.25E+02
;225;;90;Th;(3/2+);EC;@ 10.00;0.0000;0.672;8.75 M 4;;22.3090;0.0050;;200905;5.25E+02
;226;;90;Th;0+;A;100.00;0.0000;6.451;30.57 M 10;;23.1960;0.0040;;960405;1.83E+03
;227;;90;Th;1/2+;A;100.00;0.0000;6.147;18.68 D 9;;25.8060;0.0020;;200110;1.61E+06
;228;;90;Th;0+;A;100.00;0.0000;5.520;1.9116 Y 16;;26.7660;0.0020;;199709;6.03E+07
;228;;90;Th;0+;20O;1E-11;0.0000;44.723;1.9116 Y 16;;26.7660;0.0020;;199709;6.03E+07
;229;;90;Th;5/2+;A;100.00;0.0000;5.168;7932 Y 28;;29.5870;0.0020;;11KI16;2.50E+11
;229;M;90;Th;(3/2+);IT;?;0.0001;0.000;2 M 1;;29.5871;0.0020;;09IN01;1.20E+02
;230;;90;Th;0+;A;100.00;0.0000;4.770;7.54E+4 Y 3;;30.8630;0.0010;;200710;2.38E+12
;230;;90;Th;0+;24Ne;6E-11;0.0000;0.000;7.54E+4 Y 3;;30.8630;0.0010;;200710;2.38E+12
;230;;90;Th;0+;SF;&4E-12;0.0000;0.000;7.54E+4 Y 3;;30.8630;0.0010;;200710;2.38E+12
;231;;90;Th;5/2+;B-;100.00;0.0000;0.392;25.52 H 1;;33.8160;0.0010;;200110;9.19E+04
;231;;90;Th;5/2+;A;@4E-11;0.0000;4.213;25.52 H 1;;33.8160;0.0010;;200110;9.19E+04
;232;;90;Th;0+;A;100.00;0.0000;4.082;1.40E10 Y 1;100%;35.4520;0.0020;;200610;4.42E+17
;232;;90;Th;0+;SF;1.1E-9;0.0000;0.000;1.40E10 Y 1;;35.4520;0.0020;;200610;4.42E+17
;233;;90;Th;1/2+;B-;100.00;0.0000;1.243;21.83 M 4;;38.7370;0.0020;;200507;1.31E+03
!;233;M;90;Th;;IT;100.00;1.8500;1.850;50 NS +50-49;;40.5870;0.0020;;200507;5.00E-08
;234;;90;Th;0+;B-;100.00;0.0000;0.273;24.10 D 3;;40.6150;0.0030;;200704;2.08E+06
;235;;90;Th;(1/2+);B-;100.00;0.0000;1.925;7.2 M 1;;44.2560;0.0500;;200305;4.32E+02
;236;;90;Th;0+;B-;100.00;0.0000;1.107;37.3 M 15;;46.4540;0.1960;S;200610;2.24E+03
;237;;90;Th;(5/2+);B-;100.00;0.0000;2.560;4.7 M 6;;50.2020;0.3590;S;00xu02;2.82E+02
;238;;90;Th;0+;B-;100.00;0.0000;1.856;9.4 M 20;;52.6270;0.2830;S;200211;5.64E+02
;239;;90;Th;;;;;0.000;;;56.6070;0.4010;S;;0.00E+00
;212;;91;Pa;;A;100.00;0.0000;8.429;5.1 MS +61-19;;21.6130;0.0740;;200503;5.10E-03
;213;;91;Pa;;A;100.00;0.0000;8.394;5.3 MS +40-16;;19.6630;0.0710;;200704;5.30E-03
;214;;91;Pa;;A;&100.00;0.0000;8.271;17 MS 3;;19.4850;0.0760;;200902;1.70E-02
