F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
!;18;M;9;F;1-;A;;4.8600;0.445;0.46 PS 12;;5.7330;0.0000;;199607;4.60E-14
!;18;M;9;F;1-;IT;;4.8600;4.860;0.46 PS 12;;5.7330;0.0000;;199607;4.60E-14
!;18;M;9;F;4+;IT;;5.2976;5.298;0.21 PS 3;;6.1706;0.0000;;199607;2.10E-14
!;18;M;9;F;4+;A;;5.2976;0.883;0.21 PS 3;;6.1706;0.0000;;199607;2.10E-14
!;18;M;9;F;3(-);A;;5.5020;1.087;0.44 PS 17;;6.3750;0.0000;;199607;4.40E-14
!;18;M;9;F;3(-);IT;;5.5020;5.502;0.44 PS 17;;6.3750;0.0000;;199607;4.40E-14
!;18;M;9;F;2-;A;;5.7860;1.371;0.10 PS 7;;6.6590;0.0000;;199607;1.00E-14
!;18;M;9;F;2-;IT;;5.7860;5.786;0.10 PS 7;;6.6590;0.0000;;199607;1.00E-14
;19;;9;F;1/2+;;;0.0000;0.000;STABLE;100%;-1.4874;0.0000;;199607;0.00E+00
!;19;M;9;F;5/2-;A;;4.6825;0.668;0.011 PS 2;;3.1951;0.0000;;199607;1.10E-14
!;19;M;9;F;5/2+;A;;5.1066;1.093;0.21 PS LT;;3.6192;0.0000;;199607;2.10E-14
!;19;M;9;F;1/2(+);A;;5.3370;1.323;0.07 FS LE;;3.8496;0.0000;;199607;7.00E-17
!;19;M;9;F;7/2+;A;;5.4635;1.450;0.18 FS LE;;3.9761;0.0000;;199607;1.80E-16
!;19;M;9;F;5/2-;A;;5.6210;1.607;0.9 FS LT;;4.1336;0.0000;;199607;9.00E-16
;20;;9;F;2+;B-;100.00;0.0000;7.025;11.07 S 6;;-0.0170;0.0000;;199808;1.11E+01
;21;;9;F;5/2+;B-;100.00;0.0000;5.684;4.158 S 20;;-0.0470;0.0010;;200412;4.16E+00
;22;;9;F;(4+);B-;100.00;0.0000;10.818;4.23 S 4;;2.7930;0.0120;;200512;4.23E+00
;22;;9;F;(4+);BN;< 11.00;0.0000;0.454;4.23 S 4;;2.7930;0.0120;;200512;4.23E+00
;23;;9;F;5/2+;B-;100.00;0.0000;8.484;2.23 S 14;;3.3090;0.1000;;200703;2.23E+00
;24;;9;F;(1,2,3)+;B-;100.00;0.0000;13.511;390 MS 70;;7.5590;0.0720;;200710;3.90E-01
;24;;9;F;(1,2,3)+;BN;<  5.90;0.0000;4.642;390 MS 70;;7.5590;0.0720;;200710;3.90E-01
;25;;9;F;5/2+;B-;100.00;0.0000;13.381;80 MS 9;;11.3630;0.0750;;200908;8.00E-02
;25;;9;F;5/2+;BN;23.10;0.0000;9.153;80 MS 9;;11.3630;0.0750;;200908;8.00E-02
;26;;9;F;(1+);B-;100.00;0.0000;17.842;9.7 MS 7;;18.6650;0.0770;;200906;9.70E-03
;26;;9;F;(1+);BN;11.00;0.0000;12.309;9.7 MS 7;;18.6650;0.0770;;200906;9.70E-03
;27;;9;F;(5/2+);B-;100.00;0.0000;17.857;5.0 MS 2;;24.6290;0.1900;;200906;5.00E-03
;27;;9;F;(5/2+);BN;77.00;0.0000;16.426;5.0 MS 2;;24.6290;0.1900;;200906;5.00E-03
;28;;9;F;;;;0.0000;0.000;40 NS LT;;33.1150;0.5030;S;200906;4.00E-08
;29;;9;F;(5/2+);B-;100.00;0.0000;22.239;2.5 MS 3;;39.9520;0.5780;S;200910;2.50E-03
;29;;9;F;(5/2+);BN;100.00;0.0000;20.981;2.5 MS 3;;39.9520;0.5780;S;200910;2.50E-03
;30;;9;F;;N;;0.0000;0.536;;;48.4000;0.5960;S;201009;0.00E+00
;31;;9;F;;BN;;0.0000;25.116;250 NS GT;;55.9440;0.5970;S;200610;2.50E-07
;31;;9;F;;B-;;0.0000;25.447;250 NS GT;;55.9440;0.5970;S;200610;2.50E-07
;16;;10;Ne;0+;2P;100.00;0.0000;1.411;9E-21 S;;23.9960;0.0200;;03AU02;9.00E-21
;17;;10;Ne;1/2-;EC;100.00;0.0000;14.509;109.2 MS 6;;16.5000;0.0000;;199902;1.09E-01
;17;;10;Ne;1/2-;EP;100.00;0.0000;13.909;109.2 MS 6;;16.5000;0.0000;;199902;1.09E-01
;17;;10;Ne;1/2-;EA;;0.0000;8.710;109.2 MS 6;;16.5000;0.0000;;199902;1.09E-01
;18;;10;Ne;0+;EC;100.00;0.0000;4.443;1.6670 S 17;;5.3170;0.0000;;09HA12;1.67E+00
;19;;10;Ne;1/2+;EC;100.00;0.0000;3.239;17.22 S 2;;1.7520;0.0000;;199607;1.72E+01
;20;;10;Ne;0+;;;0.0000;0.000;STABLE;90.48% 3;-7.0419;0.0000;;199902;0.00E+00
!;20;M;10;Ne;3-;A;93.00;5.6214;0.891;139 FS 35;;-1.4205;0.0000;;199902;1.39E-13
!;20;M;10;Ne;3-;IT;7.00;5.6214;5.621;139 FS 35;;-1.4205;0.0000;;199902;1.39E-13
;21;;10;Ne;3/2+;;;0.0000;0.000;STABLE;0.27% 1;-5.7310;0.0000;;200412;0.00E+00
;22;;10;Ne;0+;;;0.0000;0.000;STABLE;9.25% 3;-8.0240;0.0000;;200512;0.00E+00
;23;;10;Ne;5/2+;B-;100.00;0.0000;4.376;37.24 S 12;;-5.1540;0.0000;;200703;3.72E+01
;24;;10;Ne;0+;B-;100.00;0.0000;2.467;3.38 M 2;;-5.9510;0.0000;;200710;2.03E+02
;25;;10;Ne;1/2+;B-;100.00;0.0000;7.250;602 MS 8;;-2.0590;0.0440;;200908;6.02E-01
;26;;10;Ne;0+;B-;100.00;0.0000;7.292;197 MS 1;;0.4790;0.0180;;200906;1.97E-01
;26;;10;Ne;0+;BN;0.13;0.0000;1.716;197 MS 1;;0.4790;0.0180;;200906;1.97E-01
;27;;10;Ne;(3/2+);B-;100.00;0.0000;12.587;31.5 MS 13;;7.0350;0.0650;;200906;3.15E-02
;27;;10;Ne;(3/2+);BN;2.00;0.0000;5.861;31.5 MS 13;;7.0350;0.0650;;200906;3.15E-02
;28;;10;Ne;0+;B-;100.00;0.0000;12.234;18.9 MS 4;;11.2910;0.0950;;200804;1.89E-02
;28;;10;Ne;0+;BN;12.0;0.0000;8.691;18.9 MS 4;;11.2910;0.0950;;200804;1.89E-02
;28;;10;Ne;0+;B-;3.60;0.0000;12.234;18.9 MS 4;;11.2910;0.0950;;200804;1.89E-02
;29;;10;Ne;(3/2+);B-;100.00;0.0000;15.393;14.8 MS 3;;18.3990;0.0990;;200804;1.48E-02
;29;;10;Ne;(3/2+);BN;28.00;0.0000;10.976;14.8 MS 3;;18.3990;0.0990;;200804;1.48E-02
;29;;10;Ne;(3/2+);B2N;4.00;0.0000;15.393;14.8 MS 3;;18.3990;0.0990;;200804;1.48E-02
;30;;10;Ne;0+;B-;100.00;0.0000;14.741;7.3 MS 3;;23.0390;0.2800;;201009;7.30E-03
;30;;10;Ne;0+;BN;13.00;0.0000;12.366;7.3 MS 3;;23.0390;0.2800;;201009;7.30E-03
;30;;10;Ne;0+;B-;8.90;0.0000;14.741;7.3 MS 3;;23.0390;0.2800;;201009;7.30E-03
;31;;10;Ne;;B-;100.00;0.0000;18.187;3.4 MS 8;;30.8200;1.6190;;200610;3.40E-03
;31;;10;Ne;;BN;;0.0000;14.409;3.4 MS 8;;30.8200;1.6190;;200610;3.40E-03
;32;;10;Ne;0+;B-;100.00;0.0000;18.214;3.5 MS 9;;36.9990;0.5030;S;200802;3.50E-03
;32;;10;Ne;0+;BN;;0.0000;16.552;3.5 MS 9;;36.9990;0.5030;S;200802;3.50E-03
